agent,baseline,scenario,metric,agent_mean,baseline_mean,diff,ci95_low,ci95_high,p_value,significant,n_episodes
edf,hybrid,light_single,dcr,0.9999374822466511,0.9996538045714738,0.00028367767517747445,0.00016197142065252842,0.00040538392970242045,7.630504555087242e-06,True,200
edf,hybrid,light_mixed,dcr,0.9997657735812827,0.9996734204973291,9.23530839536657e-05,-0.00010269582525799208,0.0002874019931653235,0.35159256115604426,False,200
edf,hybrid,medium_mixed,dcr,0.9990276961896786,0.9995909437013407,-0.0005632475116620756,-0.0014792968792741881,0.000352801855950037,0.2267628007835468,False,200
edf,hybrid,heavy_inference,dcr,0.9807965487304422,0.9986716722945244,-0.01787512356408218,-0.023591931458819056,-0.012158315669345304,3.836214621839491e-09,True,200
edf,hybrid,burst_storm,dcr,0.9958415157689942,0.9988574866050932,-0.0030159708360990973,-0.006105514993134722,7.357332093652774e-05,0.055655565905094635,False,200
edf,hybrid,deadline_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
edf,hybrid,memory_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
edf,hybrid,asymmetric,dcr,0.9998949201345537,0.999577326487691,0.00031759364686264225,0.00018299525784458426,0.00045219203588070024,5.962464186860439e-06,True,200
weighted,hybrid,light_single,dcr,0.7053108133018486,0.9996538045714738,-0.29434299126962504,-0.29923329574790125,-0.28945268679134883,1.1915190678802982e-186,True,200
weighted,hybrid,light_mixed,dcr,0.7192594762623037,0.9996734204973291,-0.28041394423502536,-0.28512758257338844,-0.2757003058966623,1.1796633354214262e-185,True,200
weighted,hybrid,medium_mixed,dcr,0.7125532857646507,0.9995909437013407,-0.28703765793669,-0.2917748158352003,-0.2823005000381797,3.2086004007285547e-187,True,200
weighted,hybrid,heavy_inference,dcr,0.6464210828422261,0.9986716722945244,-0.35225058945229804,-0.3562075296294082,-0.34829364927518786,3.780534133412361e-220,True,200
weighted,hybrid,burst_storm,dcr,0.6589674293317128,0.9988574866050932,-0.33989005727338034,-0.3457422107801179,-0.3340379037666428,1.3041843042462665e-183,True,200
weighted,hybrid,deadline_pressure,dcr,1.0,1.0,0.0,0.0,0.0,,False,200
