agent,baseline,scenario,metric,agent_mean,baseline_mean,diff,ci95_low,ci95_high,p_value,significant,n_episodes
edf,hybrid,light_single,mean_latency_ns,1210661.4953760407,1305064.4477350533,-94402.95235901278,-96229.78054232846,-92576.1241756971,1.1035531034099805e-173,True,200
edf,hybrid,light_mixed,mean_latency_ns,1339560.3722635605,1407333.0229965078,-67772.65073294743,-73325.58048246121,-62219.72098343364,7.68043291801368e-61,True,200
edf,hybrid,medium_mixed,mean_latency_ns,965624.2508374905,1003663.3959339708,-38039.145096480424,-44839.38176018455,-31238.908432776298,2.1932099920650424e-22,True,200
edf,hybrid,heavy_inference,mean_latency_ns,1400254.8842666387,1242622.39209349,157632.49217314887,95186.98682300627,220077.99752329147,1.389287054281279e-06,True,200
edf,hybrid,burst_storm,mean_latency_ns,1033006.4369426685,1019651.0029531863,13355.433989482048,-48959.36953799619,75670.23751696029,0.673018851270485,False,200
edf,hybrid,deadline_pressure,mean_latency_ns,777580.1430921766,777580.1430921766,0.0,0.0,0.0,,False,200
edf,hybrid,memory_pressure,mean_latency_ns,1465940.468255171,1465940.468255171,0.0,0.0,0.0,,False,200
edf,hybrid,asymmetric,mean_latency_ns,1363287.8338007175,1454507.5620138282,-91219.72821311056,-93922.2263481197,-88517.23007810142,5.994168200997549e-138,True,200
weighted,hybrid,light_single,mean_latency_ns,4093976.995305964,1305064.4477350533,2788912.5475709103,2731415.0756008863,2846410.0195409344,2.5504200852215695e-168,True,200
weighted,hybrid,light_mixed,mean_latency_ns,4128154.641897349,1407333.0229965078,2720821.618900841,2664950.658398793,2776692.579402889,1.174998010786678e-168,True,200
weighted,hybrid,medium_mixed,mean_latency_ns,3130042.886177105,1003663.3959339708,2126379.490243133,2077251.197759983,2175507.7827262837,1.0445892629477222e-158,True,200
weighted,hybrid,heavy_inference,mean_latency_ns,4960880.678469659,1242622.39209349,3718258.2863761694,3652115.2775840685,3784401.2951682704,7.785784363286943e-181,True,200
