agent,baseline,scenario,metric,agent_mean,baseline_mean,diff,ci95_low,ci95_high,p_value,significant,n_episodes
edf,hybrid,light_single,throughput,162.9165,162.91250000000002,0.003999999999999915,-0.00038498741460275127,0.008384987414602581,0.07356161965059624,False,200
edf,hybrid,light_mixed,throughput,172.91099999999997,172.90849999999998,0.002499999999999858,-0.0017943682607152746,0.00679436826071499,0.2523508894926711,False,200
edf,hybrid,medium_mixed,throughput,273.8905,273.89099999999996,-0.0005000000000001136,-0.0014859782721262146,0.0004859782721259873,0.318524912319774,False,200
edf,hybrid,heavy_inference,throughput,448.14099999999996,448.1705,-0.02949999999999932,-0.051900937674841566,-0.007099062325157068,0.010109622460425403,True,200
edf,hybrid,burst_storm,throughput,315.036,315.039,-0.0030000000000001137,-0.00717262786560767,0.0011726278656074424,0.15781883619217793,False,200
edf,hybrid,deadline_pressure,throughput,102.98049999999999,102.98049999999999,0.0,0.0,0.0,,False,200
edf,hybrid,memory_pressure,throughput,105.979,105.979,0.0,0.0,0.0,,False,200
edf,hybrid,asymmetric,throughput,163.9095,163.90599999999998,0.0034999999999999433,-0.0007806955226058801,0.007780695522605767,0.10847725448806406,False,200
weighted,hybrid,light_single,throughput,162.8735,162.91250000000002,-0.0390000000000002,-0.06715927520189233,-0.010840724798108083,0.006879002475523132,True,200
weighted,hybrid,light_mixed,throughput,172.86900000000003,172.90849999999998,-0.039500000000000174,-0.06821271617549537,-0.010787283824504973,0.007256037192723805,True,200
weighted,hybrid,medium_mixed,throughput,273.8465,273.89099999999996,-0.04449999999999946,-0.07473105659021494,-0.01426894340978398,0.00411670141736209,True,200
weighted,hybrid,heavy_inference,throughput,447.957,448.1705,-0.21349999999999825,-0.2879650216914872,-0.1390349783085093,5.391797264140568e-08,True,200
weighted,hybrid,burst_storm,throughput,314.99449999999996,315.039,-0.04450000000000017,-0.07473105659021596,-0.014268943409784376,0.004116701417361892,True,200
weighted,hybrid,deadline_pressure,throughput,102.978,102.98049999999999,-0.002500000000000213,-0.004682444027012043,-0.0003175559729883836,0.02497487384622421,True,200
weighted,hybrid,memory_pressure,throughput,105.97400000000002,105.979,-0.005000000000000426,-0.008046615216248134,-0.001953384783752719,0.0014182897297972254,True,200
weighted,hybrid,asymmetric,throughput,163.86700000000002,163.90599999999998,-0.0390000000000002,-0.06715927520189233,-0.010840724798108083,0.006879002475523132,True,200
random,hybrid,light_single,throughput,103.145,162.91250000000002,-59.7675,-62.64048915988586,-56.89451084011414,4.893660890007719e-99,True,200
random,hybrid,light_mixed,throughput,111.7835,172.90849999999998,-61.125,-64.22309484618364,-58.02690515381636,5.7918310658849594e-95,True,200
random,hybrid,medium_mixed,throughput,222.14100000000002,273.89099999999996,-51.75,-57.366037256582175,-46.133962743417825,3.8918103153257345e-44,True,200
random,hybrid,heavy_inference,throughput,319.4,448.1705,-128.7705,-137.58477761436308,-119.9562223856369,6.31840820820237e-73,True,200
random,hybrid,burst_storm,throughput,245.78349999999998,315.039,-69.25550000000001,-76.32344861888046,-62.18755138111956,1.556397350383278e-47,True,200
random,hybrid,deadline_pressure,throughput,101.88150000000002,102.98049999999999,-1.0990000000000006,-1.1363784067656428,-1.0616215932343585,1.3286837446137996e-126,True,200
random,hybrid,memory_pressure,throughput,103.8035,105.979,-2.175500000000001,-2.2304369325862257,-2.120563067413776,3.028828950998429e-151,True,200
random,hybrid,asymmetric,throughput,113.85099999999998,163.90599999999998,-50.055,-53.1533184336544,-46.9566815663456,4.455734515557769e-80,True,200
mlp,hybrid,light_single,throughput,162.91250000000002,162.91250000000002,0.0,0.0,0.0,,False,200
mlp,hybrid,light_mixed,throughput,172.90849999999998,172.90849999999998,0.0,0.0,0.0,,False,200
mlp,hybrid,medium_mixed,throughput,273.89099999999996,273.89099999999996,0.0,0.0,0.0,,False,200
mlp,hybrid,heavy_inference,throughput,448.16849999999994,448.1705,-0.0020000000000001705,-0.0059439130885040135,0.001943913088503673,0.318524912319774,False,200
mlp,hybrid,burst_storm,throughput,315.039,315.039,0.0,0.0,0.0,,False,200
mlp,hybrid,deadline_pressure,throughput,102.98049999999999,102.98049999999999,0.0,0.0,0.0,,False,200
mlp,hybrid,memory_pressure,throughput,105.979,105.979,0.0,0.0,0.0,,False,200
mlp,hybrid,asymmetric,throughput,163.90599999999998,163.90599999999998,0.0,0.0,0.0,,False,200
ppo,hybrid,light_single,throughput,162.91049999999998,162.91250000000002,-0.0020000000000000282,-0.005687868457525653,0.0016878684575255972,0.2861719111778055,False,200
ppo,hybrid,light_mixed,throughput,172.9075,172.90849999999998,-0.0010000000000000852,-0.0041226339332988155,0.0021226339332986446,0.5284356097259885,False,200
ppo,hybrid,medium_mixed,throughput,273.3635,273.89099999999996,-0.5274999999999994,-0.5442709544605393,-0.5107290455394595,3.9759233675079034e-132,True,200
ppo,hybrid,heavy_inference,throughput,447.56600000000003,448.1705,-0.6044999999999981,-0.6302869620602821,-0.5787130379397142,2.2158328387364445e-108,True,200
ppo,hybrid,burst_storm,throughput,314.51149999999996,315.039,-0.5274999999999997,-0.5411919404181421,-0.5138080595818574,6.02641968602673e-149,True,200
ppo,hybrid,deadline_pressure,throughput,102.4825,102.98049999999999,-0.4980000000000001,-0.49995703610383857,-0.49604296389616165,0.0,True,200
ppo,hybrid,memory_pressure,throughput,105.479,105.979,-0.5,-0.5,-0.5,0.0,True,200
ppo,hybrid,asymmetric,throughput,163.379,163.90599999999998,-0.527,-0.5442178098080985,-0.5097821901919015,6.850705542135394e-130,True,200
xgboost,hybrid,light_single,throughput,162.907,162.91250000000002,-0.005500000000000113,-0.014897839176149782,0.0038978391761495543,0.24985570952397998,False,200
xgboost,hybrid,light_mixed,throughput,172.9025,172.90849999999998,-0.006000000000000085,-0.015339699322049472,0.003339699322049302,0.20669949995341416,False,200
xgboost,hybrid,medium_mixed,throughput,273.8895,273.89099999999996,-0.0015000000000000568,-0.0073440033661421695,0.004344003366142056,0.6133125096926283,False,200
xgboost,hybrid,heavy_inference,throughput,448.1225,448.1705,-0.047999999999998974,-0.08319668248819523,-0.012803317511802727,0.007768152633859193,True,200
xgboost,hybrid,burst_storm,throughput,315.035,315.039,-0.0040000000000000565,-0.009736431944495133,0.0017364319444950205,0.17066500354358077,False,200
xgboost,hybrid,deadline_pressure,throughput,102.98049999999999,102.98049999999999,0.0,0.0,0.0,,False,200
xgboost,hybrid,memory_pressure,throughput,105.979,105.979,0.0,0.0,0.0,,False,200
xgboost,hybrid,asymmetric,throughput,163.90050000000002,163.90599999999998,-0.005500000000000113,-0.014897839176149782,0.0038978391761495543,0.24985570952397998,False,200
